tax_entry_id,document_ref,customer_name,tax_date,taxable_value,cgst,sgst,igst,total_tax
TAX-6001,INV1001,Nova Retail Solutions,2026-08-17,250000,22500.0,22500.0,0,45000.0
TAX-6002,INV1002,Acme Industries Limited,2026-08-04,75000,6750.0,6750.0,0,13500.0
TAX-6003,INV1003,Apex Infrastructure Ltd,2026-08-20,45000,4050.0,4050.0,0,8099.99
TAX-6004,INV1004,Apex Infrastructure Ltd,2026-08-20,250000,22500.0,22500.0,0,45000.0
TAX-6005,INV1005,Acme Industries Limited,2026-08-04,125000,11250.0,11250.0,0,22499.99
TAX-6006,INV1006,Bharat Manufacturing Pvt Ltd,2026-08-10,200000,18000.0,18000.0,0,36000.0
TAX-6007,INV1007,BlueSky Logistics India,2026-08-01,125000,11250.0,11250.0,0,22499.99
TAX-6008,INV1008,Zenith Consumer Products,2026-08-04,125000,11250.0,11250.0,0,22500.0
TAX-6009,INV1009,Nova Retail Solutions,2026-08-12,75000,6750.0,6750.0,0,13499.99
TAX-6010,INV1010,Meridian Energy Services,2026-08-11,250000,22500.0,22500.0,0,45000.0
TAX-6011,INV1011,Bharat Manufacturing Pvt Ltd,2026-08-12,125000,11250.0,11250.0,0,22499.99
TAX-6012,INV1012,Acme Industries Limited,2026-08-08,45000,4050.0,4050.0,0,8100.0
TAX-6013,INV1013,BlueSky Logistics India,2026-08-03,75000,6750.0,6750.0,0,13500.0
TAX-6014,INV1014,BlueSky Logistics India,2026-08-18,75000,6750.0,6750.0,0,13500.0
TAX-6015,INV1015,Zenith Consumer Products,2026-08-20,200000,18000.0,18000.0,0,36000.0
TAX-6016,INV1016,Zenith Consumer Products,2026-08-07,125000,11250.0,11250.0,0,22500.0
TAX-6017,INV1017,Global Components Pvt Ltd,2026-08-15,250000,22500.0,22500.0,0,45000.0
TAX-6018,INV1018,Orion Industrial Holdings,2026-08-03,150000,13500.0,13500.0,0,27000.0
TAX-6019,INV1019,Meridian Energy Services,2026-08-18,98000,8820.0,8820.0,0,17640.0
TAX-6020,INV1020,Acme Industries Limited,2026-08-03,25000,2250.0,2250.0,0,4500.0
TAX-6021,INV1021,Bharat Manufacturing Pvt Ltd,2026-08-02,150000,13500.0,13500.0,0,27000.0
TAX-6022,INV1022,Zenith Consumer Products,2026-08-08,125000,11250.0,11250.0,0,22500.0
TAX-6023,INV1023,Orion Industrial Holdings,2026-08-18,75000,6750.0,6750.0,0,13500.0
TAX-6024,INV1024,Orion Industrial Holdings,2026-08-16,200000,18000.0,18000.0,0,36000.0
TAX-6025,INV1025,Bharat Manufacturing Pvt Ltd,2026-08-04,200000,18000.0,18000.0,0,36000.0
TAX-6026,INV1026,Apex Infrastructure Ltd,2026-08-14,250000,22500.0,22500.0,0,45000.0
TAX-6027,INV1027,Bharat Manufacturing Pvt Ltd,2026-08-02,200000,18000.0,18000.0,0,36000.0
TAX-6028,INV1028,Orion Industrial Holdings,2026-08-07,98000,8820.0,8820.0,0,17640.0
TAX-6029,INV1029,Nova Retail Solutions,2026-08-14,75000,6750.0,6750.0,0,13500.0
