invoice_id,customer_id,customer_name,invoice_date,due_date,currency,subtotal,tax,total,status
INV-1001,C003,Nova Retail Solutions,2026-08-17,2026-09-16,INR,250000,45000.0,295000.0,Paid
INV-1002,C001,Acme Industries Limited,2026-08-04,2026-09-03,INR,75000,13500.0,88500.0,Paid
INV-1003,C007,Apex Infrastructure Ltd,2026-08-20,2026-09-19,INR,45000,8100.0,53100.0,Paid
INV-1004,C007,Apex Infrastructure Ltd,2026-08-20,2026-09-19,INR,250000,45000.0,295000.0,Paid
INV-1005,C001,Acme Industries Limited,2026-08-04,2026-09-03,INR,125000,22500.0,147500.0,Paid
INV-1006,C002,Bharat Manufacturing Pvt Ltd,2026-08-10,2026-09-09,INR,200000,36000.0,236000.0,Paid
INV-1007,C008,BlueSky Logistics India,2026-08-01,2026-08-31,INR,125000,22500.0,147500.0,Paid
INV-1008,C009,Zenith Consumer Products,2026-08-04,2026-09-03,INR,125000,22500.0,147500.0,Paid
INV-1009,C003,Nova Retail Solutions,2026-08-12,2026-09-11,INR,75000,13500.0,88500.0,Paid
INV-1010,C010,Meridian Energy Services,2026-08-11,2026-09-10,INR,250000,45000.0,295000.0,Paid
INV-1011,C002,Bharat Manufacturing Pvt Ltd,2026-08-12,2026-09-11,INR,125000,22500.0,147500.0,Paid
INV-1012,C001,Acme Industries Limited,2026-08-08,2026-09-07,INR,45000,8100.0,53100.0,Paid
INV-1013,C008,BlueSky Logistics India,2026-08-03,2026-09-02,INR,75000,13500.0,88500.0,Paid
INV-1014,C008,BlueSky Logistics India,2026-08-18,2026-09-17,INR,75000,13500.0,88500.0,Paid
INV-1015,C009,Zenith Consumer Products,2026-08-20,2026-09-19,INR,200000,36000.0,236000.0,Paid
INV-1016,C009,Zenith Consumer Products,2026-08-07,2026-09-06,INR,125000,22500.0,147500.0,Paid
INV-1017,C006,Global Components Pvt Ltd,2026-08-15,2026-09-14,INR,250000,45000.0,295000.0,Paid
INV-1018,C004,Orion Industrial Holdings,2026-08-03,2026-09-02,INR,150000,27000.0,177000.0,Paid
INV-1019,C010,Meridian Energy Services,2026-08-18,2026-09-17,INR,98000,17640.0,115640.0,Paid
INV-1020,C001,Acme Industries Limited,2026-08-03,2026-09-02,INR,25000,4500.0,29500.0,Paid
INV-1021,C002,Bharat Manufacturing Pvt Ltd,2026-08-02,2026-09-01,INR,150000,27000.0,177000.0,Paid
INV-1022,C009,Zenith Consumer Products,2026-08-08,2026-09-07,INR,125000,22500.0,147500.0,Paid
INV-1023,C004,Orion Industrial Holdings,2026-08-18,2026-09-17,INR,75000,13500.0,88500.0,Paid
